Q5,Q202_First Click,Q202_Last Click,Q202_Page Submit,Q202_Click Count,experience_overall,CV_easy,CV_novel,years_experience,Q274,Q275,Q276,job_gender_type,normative_job_gender,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,nCRT1,nCRT2,nCRT3,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,novel_acheck,Q117,PROLIFIC_PID,condition,job,job_desc,name,CVlink,job_pop
ice,2.791,96.858,97.978,10,7,3,4,11,0,33,7,1,1,9.214,51.462,58.064,3,first,8,emily,1,,60,2,3,,No,4,40,17,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9YMMIUo402EM0tL,HR managers
ice,196.742,225.15,244.234,3,7,6,6,11,0,37,7,1,4,9.559,76.889,81.28,3,Second,7,June,1,,43,1,2,,No,4,40,18,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3OfX0DdT5dkBLoN,HR managers
ice,3.695,70.02,70.535,37,6,7,4,9,0,32,7,7,4,6.958,29.154,33.82,5,Second,8,Emily,0,,58,2,6,,No,4,37,19,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d6jT7jMsCmnccoB,software engineers
ice,23.084,75.356,76.535,11,6,4,5,11,0,34,7,5,4,3.758,18.501,21.126,5,First,8,Emily,0,,67,2,3,,No,6,40,20,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4TqycRlQv5h5aMB,software engineers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,
ice,37.468,43,44.395,3,7,5,1,11,0,31,7,5,4,2.601,2.601,14.793,1,second,8,june,1,,68,5,5,,no,4,38,22,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6zLxR0tuCCL6Qnj,HR managers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,
ice,6.293,18.141,19.292,3,4,3,4,6,1,30,8,6,5,7.237,38.805,42.289,6,2nd,8,june,1,,25,2,1,,no,6,40,24,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cV1xQ92Fx5Zyr2J,call centre workers
ice,1.155,44.122,45.104,5,5,6,3,10,0,40,7,4,4,1.251,28.968,37.38,5,second place,8,emily,0,,72,2,5,,no,4,40,25,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7R0t5SCoOqmfDdb,software engineers
ice,98.847,115.064,117.507,3,6,6,3,11,0,31,7,6,4,2.3,11.238,19.047,3,first,8,Emily,1,,71,2,5,,,4,37,26,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ebrvGgsSC6yKSYB,finance managers
ice,84.374,98.285,102.11,7,7,7,2,11,0,35,7,3,4,2.164,48.962,54.417,9,second place,8,Emily,0,,76,2,5,,No,4,32,27,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1NORfct9yf7RSWF,finance managers
ice,38.67,50.39,51.588,3,7,4,1,11,0,25,7,7,4,13.585,42.537,46.522,3,1st,8,emily,0,,70,1,7,,,4,37,28,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_agSaIeW9zA0AvMV,call centre workers
ice,2.906,90.915,91.847,8,7,7,3,16,0,40,7,2,4,5.734,41.592,60.279,3,second,7,Emily,1,,72,2,5,,No.,4,42,29,control,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVMhqojZul4HvtH,finance managers
ice,132.161,140.374,141.289,3,7,7,4,11,0,33,7,7,4,4.489,29.916,33.038,4,First,7,June,1,,70,5,5,,No,7,39,30,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3TMMc2BY3KeehpP,software engineers
ice,1.387,18.989,19.79,17,7,3,4,7,0,28,7,7,4,2.477,19.411,27.768,5,First,8,Emily,0,,63,2,7,,No,5,40,31,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cV1xQ92Fx5Zyr2J,call centre workers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,
ice,24.981,32.389,32.753,6,6,6,4,16,0,45,7,5,3,4.742,21.909,22.642,4,second ,8,Emily ,1,,75,3,3,,No,4,34,33,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bQjK4A5fEtnSqot,call centre workers
ice,98.947,123.789,126.023,5,6,6,4,11,0,26,7,2,4,4.843,32.497,42.839,3,3,7,June,1,,38,3,5,,No,4,34,34,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3fJWGbHiP22IhLf,call centre workers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
ice,50.937,71.908,72.841,4,4,5,4,11,0,27,7,1,3,2.453,31.685,40.457,3,second,7,Emily,0,,72,2,5,,No,4,32,36,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bD6vNJmzlMToJEx,HR managers
ice,15.143,49.142,49.184,15,7,5,4,6,0,29,7,3,4,4.971,23.874,31.539,4,Second place,7,Emily,0,,69,2,2,,No,7,40,37,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1NORfct9yf7RSWF,finance managers
ice,5.945,85.983,87.798,15,6,5,1,7,0,30,7,7,4,8.194,31.047,37.559,5,first,8,June,1,,63,2,5,,,4,37,38,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d6jT7jMsCmnccoB,software engineers
ice,6.664,25.955,26.587,18,6,4,4,8,0,28,7,6,4,3.07,17.093,17.414,4,2nd,8,emily,0,,75,9,5,,No,4,39,39,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_elBnPChbeTcwewt,HR managers
ice,121.416,167.765,168.44,8,6,6,3,11,0,32,7,5,4,1.624,21.102,29.2,3,Second,8,Emily,0,,77,2,6,,No,4,37,40,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Sv2e7JqUaMar4x,finance managers
ice,162.387,173.28,174.649,4,5,6,4,12,0,37,4,1,4,2.042,12.211,22.245,3,first,8,Emily,1,,75,2,6,,No,4,45,41,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_86xvTRwRx6KMjyd,HR managers
ice,9.896,88.953,90.36,26,5,3,4,11,0,27,7,2,4,3.701,24.606,35.563,6,first,8,emily,0,,67,2,3,,No,6,37,42,treat,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_agSaIeW9zA0AvMV,call centre workers
ice,153.498,175.695,177.198,3,7,7,2,8,0,35,6,6,4,1.535,12.114,23.078,3,First,7,June,1,,69,2,3,,No.,6,43,43,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9YMMIUo402EM0tL,HR managers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,
ice,14.941,34.617,37.829,10,6,7,4,11,0,33,7,4,4,3.301,21.2,23.649,5,2nd,8,Emily,0,,74,2,5,,No,6,33,45,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3OfX0DdT5dkBLoN,HR managers
ice,113.29,118.777,119.68,3,7,4,4,10,0,31,7,4,4,5.804,26.46,34.974,3,first,8,emily,1,,71,5,5,,no,4,40,46,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6zfh2971IUiaJJb,HR managers
ice,29.424,143.84,144.377,35,7,6,4,11,0,30,7,1,3,3.038,19.719,20.099,6,First,8,Emily,0,,66,1,6,,No,4,40,47,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a5hofTU2c1qmgst,call centre workers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
ice,1.505,160.009,162.095,23,6,6,2,7,0,40,7,7,4,10.009,34.476,37.74,5,2nd,8,Emily,0,,79,2,3,,No,4,39,49,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6y9hsiKBIS4N6Xr,software engineers
ice,129.119,150.681,153.402,3,6,6,4,11,0,38,8,5,4,5.168,20.607,29.379,3,first,8,can't say,1,,41,2,5,,No,4,34,50,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1M8G1kMRmhaKQtf,finance managers
ice,1.497,153.251,155.628,18,5,5,4,5,0,33,7,3,4,4.876,41.798,50.608,3,Second place ,8,Emily,0,,81,2,4,,No,4,40,51,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bD6vNJmzlMToJEx,HR managers
ice,14.151,75.735,108.932,49,6,2,4,9,0,26,7,1,2,9.258,23.895,27.514,4,first,8,june,0,,54,2,3,,no,4,43,52,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6zLxR0tuCCL6Qnj,HR managers
ice,61.952,71.1,72.602,5,6,5,5,6,0,27,7,5,4,2.121,2.121,21.736,1,second,8,Emily,99,,66,2,6,,No,4,40,53,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_79XyVAnrbiNCIux,software engineers
ice,1.598,248.301,249.818,39,6,6,5,9,0,30,7,4,4,2.211,50.669,54.254,7,Second,15,Emily,0,,66,2,2,,No,6,45,54,control,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4OS2jU7nO4crQjz,finance managers
ice,62.077,72.823,73.956,5,6,5,4,10,1,30,7,5,4,2.254,24.505,40.702,4,2nd,8,Dont know,1,,73,2,5,,,4,34,55,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3TMMc2BY3KeehpP,software engineers
Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,
ice,3.843,39.027,40.634,11,6,6,4,8,0,32,7,3,4,5.103,13.557,19.747,5,First,7,Emily,0,,57,2,2,,,4,40,57,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_exSC8FvirVmFFLT,call centre workers
ice,90.121,112.755,114.054,3,7,6,5,11,0,32,6,6,4,3.31,30.399,33.858,4,second,8,Emily,1,,49,2,3,,No,4,32,58,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4TqycRlQv5h5aMB,software engineers
ice,5.892,11.332,12.449,4,5,5,4,4,1,32,7,6,5,0.49,20.18,29.258,2,second,7,June,1,,78,2,5,,no,4,39,59,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bQLNq0W3l8a6PB3,call centre workers
ice,70.365,79.56,82.825,4,6,6,4,10,0,33,7,5,4,2.845,2.845,23.096,1,second,7,Emily,1,,79,2,5,,,4,37,60,control,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ebrvGgsSC6yKSYB,finance managers
ice,122.363,129.722,137.7,3,7,3,3,8,0,35,7,6,4,1.595,18.667,27.978,3,second,8,Emily,0,,77,2,5,,No,4,32,61,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,sarah,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0qSnH2u1fw38HcN,software engineers
ice,3.785,90.439,92.802,12,6,6,6,9,0,29,7,3,4,9.069,37.649,40.335,5,Second,8,June,0,,61,2,5,,No,4,37,62,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ebrvGgsSC6yKSYB,finance managers
ice,16.45,65.049,66.74,19,6,5,4,11,0,30,8,3,4,4.86,18.819,26.129,5,2,8,Emily ,1,,67,2,4,,No,5,40,63,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8kugWgoBPhLdvs9,HR managers
ice,1.458,52.037,52.772,12,7,5,4,7,0,36,7,7,4,5.4,27.799,30.246,3,First,8,Emily ,0,,68,2,4,,No,7,40,64,treat,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bpZ1BN1DevLXZjL,software engineers
ice,65.152,72.188,73.011,3,6,6,2,11,0,30,7,5,4,2.887,14.248,28.467,2,second,8,Emily,1,,69,1,5,,no,4,33,65,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3fJWGbHiP22IhLf,call centre workers
ice,155.609,193.933,198.565,4,6,5,2,11,0,34,7,5,4,10.255,32.482,36.439,3,second,8,Emily,1,,80,2,3,,No,4,40,66,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Sv2e7JqUaMar4x,finance managers
ice,117.114,131.718,133.606,3,5,6,1,9,0,28,8,6,4,8.252,37.974,46.817,4,second,8,Emily,0,,33,2,5,,No,4,40,67,control,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0BZgpTNvgcYam0J,finance managers
ice,97.293,113.025,114.043,3,5,6,4,10,0,34,7,6,4,9.876,44.889,49.687,3,2,8,June,0,,67,2,7,,No,4,37,68,control,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVMhqojZul4HvtH,finance managers
ice,117.924,246.321,255.09,4,7,7,4,11,0,42,7,7,4,2.547,14.074,25.731,3,Second,8,Emily,0,,79,2,8,Bachelors degree without honours,"The word choice of ""novel"" didn't really make sense to me, I would replace it with a different word",7,40,69,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7R0t5SCoOqmfDdb,software engineers
ice,50.876,59.961,61.152,3,6,5,4,5,0,30,7,2,4,5.173,18.207,22.817,4,first,8,emily,1,,59,3,6,,No,4,40,70,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bD6vNJmzlMToJEx,HR managers
ice,119.322,129.23,129.891,5,6,6,4,10,0,30,7,4,4,5.868,20.73,27.967,3,first,7,June,0,,73,2,5,,No,7,30,71,control,Call Centre,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6KGrvLr0djamFXT,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bQLNq0W3l8a6PB3,call centre workers
ice,54.617,115.081,116.219,10,6,7,5,7,0,24,7,4,4,5.164,26.886,29.001,6,Second,8,Emily,0,,66,2,5,,No,4,37,72,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1NORfct9yf7RSWF,finance managers
ice,1.543,66.437,68.1,40,6,6,3,16,0,40,7,2,4,1.222,8.047,11.521,3,second,8,Emily,0,,82,2,3,,No.,4,40,73,control,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,lauren,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9YMMIUo402EM0tL,HR managers
ice,46.206,61.616,65.015,5,6,4,5,11,0,34,7,4,4,2.936,36.49,39.313,5,2nd,7,Emily,0,,72,2,5,,,4,36,74,treat,Finance,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dg63nWmpeFjsGtn,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6Sv2e7JqUaMar4x,finance managers
ice,135.088,144.062,145.219,3,7,6,1,6,0,38,7,7,4,2.242,2.242,19.871,1,first,8,Emily,0,,68,2,3,,No.,4,39,75,control,Software,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bqhwHeTZ4qbv2kt,rebecca,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_d6jT7jMsCmnccoB,software engineers
ice,40.299,204.075,205.45,20,7,7,5,11,0,32,7,4,4,1.003,33.074,36.642,8,2,8,Emily,0,,59,2,6,,Fun questions at the end! :),4,43,76,treat,HR,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bEjlugTWABRuGzj,jessica,https://hbs.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6zLxR0tuCCL6Qnj,HR managers
