record,experimental.condition,region,working.pattern,positive.callback,positive.callback.alt,other.further.stage,negative.response,negative.or.no.response,response,female.dominated,high.skill,salary,missing.salary
FM,3,london,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
FM,1,yorkshire & humber,Not stated,0,0,0,0,0,Actionable request for further information,0,1,NA,1
SE,4,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
SE,2,east,Full-time,0,0,0,0,0,Actionable request for further information,0,1,NA,1
CC,3,north east,Full-time,1,0,1,0,0,Other further stage,1,0,17000,0
SW,4,south west,Part-time,1,1,0,0,0,Invitation to interview,1,0,20520,0
SW,3,south west,Full-time,0,0,0,0,0,Not actionable request for further information,1,0,21000,0
WO,3,south west,Full-time,0,0,0,0,1,No response,0,0,15939,0
WO,1,south west,Full-time,1,1,0,0,0,Invitation to interview,0,0,15372,0
WO,2,south west,Full-time,1,1,0,0,0,Invitation to interview,0,0,16236,0
CC,2,south west,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
FM,3,south west,Part-time,1,0,1,0,0,Other further stage,0,1,37282.5,0
WO,2,south east,Full-time,1,1,0,0,0,Invitation to interview,0,0,16614,0
AA,3,north west,Full-time,0,0,0,0,1,No response,1,0,NA,1
FM,1,south west,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
AA,3,west midlands,Part-time,0,0,0,0,1,No response,1,0,NA,1
FM,1,west midlands,Full-time,1,0,1,0,0,Other further stage,0,1,50000,0
FM,1,east,Full-time,0,0,0,1,1,Rejection,0,1,42000,0
PM,2,south west,Other,0,0,0,0,1,No response,0,1,NA,1
AA,2,east,Part-time,1,0,1,0,0,Other further stage,1,0,NA,1
FM,4,east,Not stated,0,0,0,0,1,No response,0,1,NA,1
CC,3,east midlands,Part-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
FM,4,west midlands,Full-time,0,0,0,0,0,Other outcome,0,1,37500,0
CC,1,east,Full-time,0,0,0,0,1,No response,1,0,20000,0
SW,1,south east,Other,1,1,0,0,0,Invitation to interview,1,0,17640,0
FM,1,east,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
AA,3,south east,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
SE,2,south east,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
FM,1,north west,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
WO,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,14778,0
SW,1,north west,Full-time,1,0,1,0,0,Other further stage,1,0,15930,0
PM,2,north east,Full-time,0,0,0,1,1,Rejection,0,1,40000,0
CC,3,west midlands,Part-time,1,0,1,0,0,Other further stage,1,0,13986,0
CC,1,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,18350,0
HR,1,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,1,west midlands,Full-time,1,0,1,0,0,Other further stage,0,0,22300,0
PM,4,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,0,1,27406,0
HR,3,south east,Full-time,0,0,0,0,1,No response,1,1,NA,1
PM,3,north west,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
CC,1,north west,Full-time,1,1,0,0,0,Invitation to interview,1,0,18145,0
PM,3,south west,Not stated,0,0,0,0,1,No response,0,1,40000,0
CC,3,yorkshire & humber,Other,1,0,1,0,0,Other further stage,1,0,15984,0
CC,3,north east,Not stated,0,0,0,0,1,No response,1,0,NA,1
FM,4,other,Not stated,1,0,1,0,0,Other further stage,0,1,42500,0
HR,1,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
CC,3,wales,Other,0,0,0,0,1,No response,1,0,NA,1
HR,3,north west,Full-time,0,0,0,0,1,No response,1,1,NA,1
AA,2,south west,Full-time,0,0,0,1,1,Rejection,1,0,14778,0
FM,4,south west,Part-time,0,0,0,0,1,No response,0,1,NA,1
WO,2,west midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,2,south west,Full-time,0,0,0,0,1,No response,0,0,23500,0
WO,2,south east,Other,1,1,0,0,0,Offer,0,0,15300,0
PM,3,south east,Full-time,0,0,0,0,1,No response,0,1,NA,1
PM,1,north west,Full-time,0,0,0,0,0,Other outcome,0,1,50000,0
SE,3,scotland,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
PM,2,north west,Full-time,0,0,0,0,1,No response,0,1,38000,0
HR,3,other,Not stated,0,0,0,0,1,No response,1,1,NA,1
SE,2,london,Full-time,0,0,0,0,1,No response,0,1,NA,1
CC,2,east,Full-time,0,0,0,0,1,No response,1,0,18025,0
PM,2,scotland,Full-time,0,0,0,0,1,No response,0,1,35000,0
SW,4,south west,Full-time,0,0,0,0,0,Not actionable request for further information,1,0,15696,0
WO,4,south west,Full-time,0,0,0,0,1,No response,0,0,NA,1
SW,1,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
FM,1,london,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
CC,4,london,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
HR,4,south east,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
SW,4,east midlands,Full-time,0,0,0,0,1,No response,1,0,15039,0
AA,1,london,Full-time,0,0,0,0,0,Other outcome,1,0,16500,0
SW,1,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,1,0,14985,0
AA,3,london,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
SE,1,south west,Full-time,0,0,0,0,1,No response,0,1,30000,0
CC,1,south east,Full-time,0,0,0,0,1,No response,1,0,19800,0
CC,1,scotland,Full-time,0,0,0,1,1,Rejection,1,0,20157,0
CC,3,south east,Full-time,0,0,0,0,1,No response,1,0,19000,0
SE,3,south west,Full-time,1,0,1,0,0,Other further stage,0,1,22000,0
AA,1,london,Full-time,0,0,0,0,1,No response,1,0,21000,0
PM,3,wales,Full-time,0,0,0,0,1,No response,0,1,NA,1
CC,3,scotland,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
WO,4,south east,Full-time,1,1,0,0,0,Invitation to interview,0,0,18500,0
FM,1,south west,Full-time,0,0,0,1,1,Rejection,0,1,60000,0
FM,3,west midlands,Full-time,1,1,0,0,0,Invitation to interview,0,1,40000,0
SE,2,south east,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
AA,1,wales,Full-time,0,0,0,0,1,No response,1,0,NA,1
SE,1,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,3,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
HR,3,london,Full-time,0,0,0,0,1,No response,1,1,58500,0
CC,3,south east,Full-time,0,0,0,0,0,Other outcome,1,0,22500,0
WO,1,south east,Full-time,1,1,0,0,0,Invitation to interview,0,0,14778,0
FM,2,yorkshire & humber,Not stated,0,0,0,0,1,No response,0,1,NA,1
AA,3,east,Full-time,0,0,0,0,1,No response,1,0,18500,0
AA,2,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
AA,4,south west,Full-time,0,0,0,1,1,Rejection,1,0,16550,0
SW,2,west midlands,Other,1,1,0,0,0,Invitation to interview,1,0,16200,0
SW,1,wales,Other,1,0,1,0,0,Other further stage,1,0,16695,0
FM,4,north west,Full-time,0,0,0,0,1,No response,0,1,NA,1
CC,2,east midlands,Full-time,0,0,0,0,1,No response,1,0,15840,0
AA,4,south east,Part-time,1,0,1,0,0,Other further stage,1,0,NA,1
SE,1,west midlands,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
WO,3,north west,Full-time,0,0,0,0,1,No response,0,0,14778,0
CC,1,west midlands,Other,0,0,0,0,1,No response,1,0,20000,0
SE,1,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,40000,0
HR,4,north east,Full-time,0,0,0,0,1,No response,1,1,NA,1
WO,2,london,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
HR,2,london,Full-time,0,0,0,0,1,No response,1,1,50000,0
HR,3,south east,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
WO,4,south east,Full-time,1,0,1,0,0,Other further stage,0,0,NA,1
HR,3,west midlands,Not stated,1,1,0,0,0,Invitation to interview,1,1,NA,1
SE,2,south west,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
SE,3,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
SW,3,west midlands,Full-time,0,0,0,0,1,No response,1,0,15435,0
CC,1,north west,Full-time,0,0,0,0,0,Other outcome,1,0,20000,0
HR,4,london,Part-time,0,0,0,0,1,No response,1,1,22500,0
CC,2,east,Part-time,0,0,0,0,1,No response,1,0,18000,0
CC,4,south east,Part-time,0,0,0,0,1,No response,1,0,18000,0
CC,2,northern ireland,Full-time,1,1,0,0,0,Invitation to interview,1,0,14778,0
HR,2,wales,Full-time,0,0,0,0,1,No response,1,1,NA,1
CC,2,south east,Full-time,1,1,0,0,0,Invitation to interview,1,0,18000,0
PM,2,north west,Full-time,0,0,0,0,1,No response,0,1,NA,1
AA,4,london,Full-time,1,0,1,0,0,Other further stage,1,0,21500,0
PM,2,scotland,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
SE,4,london,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
CC,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,23000,0
FM,1,south east,Full-time,0,0,0,0,0,Other outcome,0,1,47500,0
SE,2,other,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
PM,1,south east,Not stated,0,0,0,0,1,No response,0,1,NA,1
AA,3,london,Full-time,0,0,0,0,1,No response,1,0,20000,0
AA,1,south west,Full-time,0,0,0,0,0,Other outcome,1,0,17500,0
WO,2,london,Full-time,0,0,0,0,1,No response,0,0,NA,1
PM,1,east,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
WO,2,wales,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
FM,4,east,Not stated,0,0,0,0,1,No response,0,1,54450,0
SW,3,london,Part-time,1,0,1,0,0,Other further stage,1,0,NA,1
SE,3,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
SE,3,wales,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
FM,1,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
PM,4,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
FM,2,west midlands,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
SE,4,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
HR,4,north west,Not stated,0,0,0,0,1,No response,1,1,NA,1
AA,2,london,Full-time,0,0,0,1,1,Rejection,1,0,18000,0
SW,3,north west,Part-time,1,1,0,0,0,Invitation to interview,1,0,14778,0
CC,3,scotland,Full-time,1,1,0,0,0,Invitation to interview,1,0,16009,0
CC,1,north west,Full-time,0,0,0,0,1,No response,1,0,22000,0
WO,2,east,Full-time,0,0,0,1,1,Rejection,0,0,15120,0
WO,3,london,Full-time,0,0,0,0,1,No response,0,0,17500,0
FM,1,east,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
CC,2,london,Other,0,0,0,0,0,Other outcome,1,0,NA,1
FM,2,east midlands,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
FM,3,london,Full-time,0,0,0,0,1,No response,0,1,37500,0
HR,3,other,Not stated,0,0,0,0,1,No response,1,1,NA,1
SE,3,south east,Full-time,0,0,0,0,1,No response,0,1,NA,1
SE,2,london,Full-time,0,0,0,0,1,No response,0,1,NA,1
HR,3,london,Not stated,1,0,1,0,0,Other further stage,1,1,50000,0
WO,4,london,Full-time,0,0,0,0,1,No response,0,0,22360,0
SW,1,east midlands,Full-time,1,0,1,0,0,Other further stage,1,0,14778,0
WO,2,wales,Part-time,0,0,0,0,1,No response,0,0,15300,0
SE,4,london,Not stated,0,0,0,0,0,Not actionable request for further information,0,1,27000,0
SW,1,south west,Other,1,1,0,0,0,Invitation to interview,1,0,NA,1
PM,2,east,Full-time,0,0,0,1,1,Rejection,0,1,42500,0
FM,2,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
WO,4,north west,Not stated,0,0,0,0,1,No response,0,0,14778,0
PM,2,south west,Full-time,0,0,0,0,1,No response,0,1,32500,0
SE,1,north west,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
CC,1,yorkshire & humber,Full-time,1,0,1,0,0,Other further stage,1,0,19500,0
HR,1,north west,Full-time,0,0,0,0,1,No response,1,1,NA,1
PM,4,west midlands,Full-time,1,0,1,0,0,Other further stage,0,1,32500,0
FM,4,south west,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
CC,1,scotland,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
AA,1,south east,Full-time,0,0,0,1,1,Rejection,1,0,18500,0
FM,3,south east,Part-time,1,0,1,0,0,Other further stage,0,1,NA,1
PM,4,other,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
PM,4,south west,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
PM,3,yorkshire & humber,Not stated,0,0,0,0,1,No response,0,1,NA,1
CC,1,south west,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
SW,1,north west,Other,1,1,0,0,0,Invitation to interview,1,0,16200,0
SW,2,north east,Part-time,0,0,0,0,1,No response,1,0,14778,0
HR,3,other,Not stated,0,0,0,0,1,No response,1,1,NA,1
FM,2,east,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
HR,1,south east,Full-time,0,0,0,1,1,Rejection,1,1,NA,1
CC,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,NA,1
WO,2,east,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
AA,2,yorkshire & humber,Full-time,1,1,0,0,0,Invitation to interview,1,0,18000,0
SW,4,north west,Full-time,1,0,1,0,0,Other further stage,1,0,16830,0
AA,4,scotland,Part-time,0,0,0,0,1,No response,1,0,NA,1
SE,3,london,Not stated,0,0,0,0,0,Not actionable request for further information,0,1,NA,1
CC,1,south east,Part-time,0,0,0,0,1,No response,1,0,NA,1
PM,1,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
SE,1,other,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
HR,4,london,Full-time,1,0,1,0,0,Other further stage,1,1,62500,0
SW,1,wales,Part-time,1,1,0,0,0,Invitation to interview,1,0,17100,0
SW,1,london,Full-time,0,0,0,0,1,No response,1,0,NA,1
HR,2,northern ireland,Not stated,0,0,0,0,1,No response,1,1,34000,0
PM,1,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,36500,0
AA,2,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,1,0,19000,0
AA,2,wales,Part-time,0,0,0,1,1,Rejection,1,0,NA,1
HR,2,east,Not stated,1,0,1,0,0,Other further stage,1,1,NA,1
AA,3,north east,Part-time,0,0,0,0,0,Other outcome,1,0,NA,1
AA,1,north west,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
CC,4,wales,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
SE,3,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
HR,1,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
CC,4,london,Other,0,0,0,0,1,No response,1,0,NA,1
SE,1,north west,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
WO,2,west midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
HR,2,other,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
FM,4,west midlands,Not stated,0,0,0,0,0,Actionable request for further information,0,1,NA,1
HR,2,london,Not stated,0,0,0,0,0,Not actionable request for further information,1,1,52500,0
SE,3,south east,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
PM,3,east midlands,Not stated,0,0,0,0,1,No response,0,1,NA,1
FM,4,west midlands,Full-time,0,0,0,0,1,No response,0,1,NA,1
PM,1,north west,Full-time,1,0,1,0,0,Other further stage,0,1,55000,0
HR,2,west midlands,Not stated,1,1,0,0,0,Invitation to interview,1,1,NA,1
HR,2,london,Part-time,0,0,0,0,1,No response,1,1,25500,0
PM,3,east,Full-time,0,0,0,0,0,Actionable request for further information,0,1,NA,1
PM,1,yorkshire & humber,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
CC,2,south west,Full-time,1,1,0,0,0,Invitation to interview,1,0,18000,0
SW,4,south east,Full-time,1,0,1,0,0,Other further stage,1,0,17777,0
PM,3,south west,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
FM,3,west midlands,Full-time,0,0,0,0,1,No response,0,1,60000,0
WO,4,east,Full-time,0,0,0,1,1,Rejection,0,0,20000,0
AA,4,south west,Not stated,0,0,0,0,1,No response,1,0,NA,1
HR,2,east,Not stated,1,0,1,0,0,Other further stage,1,1,NA,1
SE,2,south east,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
WO,3,northern ireland,Full-time,0,0,0,0,1,No response,0,0,NA,1
HR,2,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
CC,2,east midlands,Full-time,0,0,0,0,1,No response,1,0,15300,0
CC,2,east,Full-time,0,0,0,0,1,No response,1,0,19500,0
FM,3,east,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,2,east midlands,Not stated,0,0,0,1,1,Rejection,1,1,41000,0
WO,2,north west,Full-time,0,0,0,0,1,No response,0,0,NA,1
SW,3,south west,Other,0,0,0,0,1,No response,1,0,NA,1
WO,4,east,Full-time,0,0,0,1,1,Rejection,0,0,16650,0
WO,3,wales,Other,0,0,0,0,1,No response,0,0,16200,0
PM,1,wales,Full-time,0,0,0,0,0,Actionable request for further information,0,1,37500,0
CC,1,south east,Full-time,0,0,0,1,1,Rejection,1,0,17000,0
CC,3,south west,Not stated,0,0,0,1,1,Rejection,1,0,NA,1
CC,2,north west,Full-time,0,0,0,0,1,No response,1,0,16000,0
CC,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,18000,0
WO,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,15570,0
AA,3,scotland,Full-time,0,0,0,0,0,Other outcome,1,0,18000,0
PM,3,yorkshire & humber,Full-time,1,0,1,0,0,Other further stage,0,1,40000,0
PM,1,northern ireland,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
CC,4,yorkshire & humber,Full-time,0,0,0,0,0,Other outcome,1,0,21250,0
SW,4,london,Not stated,0,0,0,0,1,No response,1,0,NA,1
FM,3,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,40000,0
FM,3,south west,Full-time,0,0,0,0,0,Not actionable request for further information,0,1,63250,0
CC,1,london,Full-time,1,0,1,0,0,Other further stage,1,0,16500,0
SE,1,south west,Not stated,0,0,0,0,1,No response,0,1,NA,1
HR,3,north west,Not stated,0,0,0,0,1,No response,1,1,NA,1
SE,1,south east,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,2,northern ireland,Full-time,1,1,0,0,0,Invitation to interview,0,0,NA,1
CC,4,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
PM,4,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,31500,0
AA,3,yorkshire & humber,Full-time,0,0,0,0,0,Other outcome,1,0,NA,1
HR,2,london,Not stated,0,0,0,1,1,Rejection,1,1,NA,1
HR,4,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
SE,4,west midlands,Not stated,0,0,0,0,1,No response,0,1,NA,1
SW,2,north west,Other,0,0,0,0,1,No response,1,0,16500,0
AA,1,south east,Full-time,0,0,0,0,1,No response,1,0,NA,1
CC,1,yorkshire & humber,Not stated,0,0,0,0,1,No response,1,0,NA,1
PM,4,south east,Full-time,0,0,0,0,1,No response,0,1,33000,0
HR,3,yorkshire & humber,Part-time,0,0,0,0,1,No response,1,1,32500,0
FM,1,south east,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
HR,4,london,Full-time,0,0,0,1,1,Rejection,1,1,45000,0
CC,2,wales,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
AA,2,west midlands,Full-time,0,0,0,0,1,No response,1,0,16200,0
FM,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,NA,1
AA,4,east,Part-time,0,0,0,1,1,Rejection,1,0,22000,0
WO,1,north west,Full-time,1,0,1,0,0,Other further stage,0,0,23400,0
WO,1,west midlands,Full-time,0,0,0,0,1,No response,0,0,14850,0
AA,1,london,Full-time,0,0,0,1,1,Rejection,1,0,NA,1
FM,4,london,Full-time,0,0,0,0,0,Other outcome,0,1,NA,1
HR,1,other,Not stated,0,0,0,0,1,No response,1,1,NA,1
FM,2,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
SW,1,north west,Full-time,0,0,0,0,1,No response,1,0,19608,0
SE,2,london,Not stated,1,0,1,0,0,Other further stage,0,1,75000,0
AA,1,south east,Full-time,0,0,0,0,1,No response,1,0,NA,1
SW,4,west midlands,Part-time,0,0,0,0,1,No response,1,0,NA,1
AA,3,north west,Not stated,0,0,0,0,0,Not actionable request for further information,1,0,NA,1
FM,1,east,Full-time,1,0,1,0,0,Other further stage,0,1,NA,1
AA,1,west midlands,Full-time,0,0,0,0,1,No response,1,0,17550,0
SW,1,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,19656,0
SW,4,south west,Full-time,1,0,1,0,0,Other further stage,1,0,16650,0
WO,4,south east,Full-time,0,0,0,1,1,Rejection,0,0,17500,0
CC,2,east,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
WO,3,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,0,NA,1
SW,2,east midlands,Part-time,1,1,0,0,0,Invitation to interview,1,0,19800,0
WO,4,east,Full-time,0,0,0,0,1,No response,0,0,17000,0
SW,4,east midlands,Full-time,1,0,1,0,0,Other further stage,1,0,17100,0
CC,1,east,Other,0,0,0,0,1,No response,1,0,NA,1
FM,2,london,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,3,london,Full-time,0,0,0,0,1,No response,0,0,18360,0
SE,1,london,Full-time,0,0,0,0,1,No response,0,1,NA,1
HR,2,west midlands,Full-time,1,1,0,0,0,Invitation to interview,1,1,NA,1
FM,2,south east,Part-time,0,0,0,1,1,Rejection,0,1,50000,0
SE,3,south east,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
CC,2,south west,Full-time,1,1,0,0,0,Invitation to interview,1,0,19000,0
HR,4,wales,Not stated,1,0,1,0,0,Other further stage,1,1,52500,0
SE,1,north west,Full-time,1,0,1,0,0,Other further stage,0,1,30000,0
PM,1,south west,Full-time,0,0,0,0,1,No response,0,1,NA,1
AA,1,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,NA,1
CC,4,london,Full-time,1,0,1,0,0,Other further stage,1,0,NA,1
AA,3,north east,Part-time,0,0,0,0,1,No response,1,0,NA,1
WO,2,east,Full-time,0,0,0,0,1,No response,0,0,NA,1
CC,3,south east,Full-time,0,0,0,0,1,No response,1,0,16000,0
WO,2,yorkshire & humber,Not stated,1,1,0,0,0,Invitation to interview,0,0,NA,1
PM,1,london,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
WO,4,west midlands,Full-time,1,0,1,0,0,Other further stage,0,0,NA,1
WO,4,south east,Part-time,0,0,0,0,1,No response,0,0,NA,1
SW,1,west midlands,Part-time,1,1,0,0,0,Invitation to interview,1,0,16200,0
PM,1,scotland,Not stated,0,0,0,1,1,Rejection,0,1,NA,1
SW,1,south east,Part-time,0,0,0,0,1,No response,1,0,NA,1
CC,2,west midlands,Other,0,0,0,0,0,Other outcome,1,0,NA,1
SW,1,scotland,Not stated,1,1,0,0,0,Invitation to interview,1,0,16830,0
SE,3,south east,Full-time,1,1,0,0,0,Invitation to interview,0,1,36234.5,0
CC,4,north west,Full-time,1,0,1,0,0,Other further stage,1,0,17675,0
WO,4,wales,Full-time,1,0,1,0,0,Other further stage,0,0,15489,0
SW,1,north west,Part-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
PM,1,east,Full-time,1,1,0,0,0,Invitation to interview,0,1,NA,1
AA,3,london,Full-time,0,0,0,0,1,No response,1,0,13500,0
FM,3,london,Full-time,0,0,0,1,1,Rejection,0,1,NA,1
SE,1,london,Full-time,0,0,0,0,1,No response,0,1,25000,0
SE,3,south east,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
HR,4,london,Full-time,1,0,1,0,0,Other further stage,1,1,47500,0
SE,4,other,Other,1,1,0,0,0,Invitation to interview,0,1,NA,1
SW,2,wales,Full-time,0,0,0,0,0,Not actionable request for further information,1,0,18191,0
AA,1,wales,Full-time,0,0,0,0,0,Other outcome,1,0,NA,1
HR,3,london,Not stated,0,0,0,0,0,Not actionable request for further information,1,1,47500,0
WO,2,london,Full-time,0,0,0,0,1,No response,0,0,20000,0
SE,2,london,Not stated,1,1,0,0,0,Invitation to interview,0,1,NA,1
FM,1,london,Full-time,0,0,0,0,1,No response,0,1,47500,0
HR,3,london,Full-time,0,0,0,0,1,No response,1,1,NA,1
HR,2,london,Full-time,0,0,0,0,1,No response,1,1,NA,1
CC,4,north west,Full-time,0,0,0,0,1,No response,1,0,25500,0
SE,3,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
SE,3,south west,Not stated,1,1,0,0,0,Invitation to interview,0,1,35000,0
PM,1,yorkshire & humber,Full-time,0,0,0,0,1,No response,0,1,45000,0
CC,3,west midlands,Full-time,1,0,1,0,0,Other further stage,1,0,19000,0
SW,2,west midlands,Other,0,0,0,0,0,Not actionable request for further information,1,0,16200,0
SE,4,london,Not stated,1,0,1,0,0,Other further stage,0,1,NA,1
CC,4,south east,Full-time,1,0,1,0,0,Other further stage,1,0,18000,0
SW,4,south east,Not stated,1,1,0,0,0,Invitation to interview,1,0,16056,0
AA,3,east,Full-time,0,0,0,0,0,Other outcome,1,0,16000,0
PM,3,east,Full-time,0,0,0,0,1,No response,0,1,NA,1
CC,2,yorkshire & humber,Full-time,0,0,0,0,1,No response,1,0,21500,0
CC,2,north east,Full-time,1,1,0,0,0,Invitation to interview,1,0,16750,0
SE,4,london,Not stated,0,0,0,0,1,No response,0,1,NA,1
SW,3,east,Part-time,0,0,0,0,1,No response,1,0,NA,1
SW,3,north east,Part-time,1,1,0,0,0,Invitation to interview,1,0,16560,0
WO,3,west midlands,Full-time,0,0,0,0,1,No response,0,0,NA,1
WO,3,scotland,Full-time,1,1,0,0,0,Invitation to interview,0,0,16650,0
WO,4,north east,Full-time,0,0,0,1,1,Rejection,0,0,18250,0
WO,1,north west,Part-time,0,0,0,0,1,No response,0,0,14778,0
AA,4,scotland,Part-time,0,0,0,0,1,No response,1,0,17100,0
WO,4,east,Not stated,0,0,0,0,1,No response,0,0,NA,1
CC,4,london,Full-time,1,1,0,0,0,Invitation to interview,1,0,16000,0
CC,3,london,Full-time,1,1,0,0,0,Invitation to interview,1,0,15300,0
AA,4,south east,Full-time,1,1,0,0,0,Invitation to interview,1,0,15015,0
SW,3,north west,Full-time,1,1,0,0,0,Invitation to interview,1,0,15750,0
SE,4,yorkshire & humber,Not stated,0,0,0,0,1,No response,0,1,NA,1
SW,2,south west,Not stated,1,0,1,0,0,Other further stage,1,0,19955,0
HR,1,london,Not stated,0,0,0,0,1,No response,1,1,NA,1
WO,1,east,Full-time,0,0,0,0,1,No response,0,0,NA,1
AA,1,north west,Part-time,1,0,1,0,0,Other further stage,1,0,16750,0
FM,2,south east,Part-time,0,0,0,0,1,No response,0,1,NA,1
AA,4,east,Full-time,0,0,0,0,1,No response,1,0,16000,0
SE,2,northern ireland,Full-time,1,0,1,0,0,Other further stage,0,1,32500,0
HR,4,west midlands,Full-time,0,0,0,0,0,Other outcome,1,1,37500,0
SE,4,london,Full-time,1,0,1,0,0,Other further stage,0,1,55000,0
WO,1,north east,Full-time,0,0,0,1,1,Rejection,0,0,NA,1
AA,4,south west,Full-time,1,1,0,0,0,Invitation to interview,1,0,NA,1
