Q5,CVtime_First Click,CVtime_Last Click,CVtime_Page Submit,CVtime_Click Count,hire_10,years_experience,applicant_male,applicant_age,applicant_ethnicity,male,male_10_TEXT,birth_year,race,educ,educ_8_TEXT,Q43,Q117,PROLIFIC_PID,Job,Cond,Name,Dates1,Dates2
ice,36.394,89.711,105.271,7,60,7,0,32,7,0,,52,2,6,,,34,1047,HR,Female Treat,Sarah Brown,5 years,10 years
ice,3.959,160.585,164.294,49,72,4,0,33,7,0,,64,2,4,,No,36,1048,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1049,,,,,
ice,0,0,22.66,0,69,12,0,35,7,0,,79,2,5,,No,43,1050,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,61.048,0,94,12,0,32,7,0,,71,2,5,,,43,1051,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,2.498,22.22,22.747,26,92,8,0,32,7,1,,63,2,5,,No,36,1052,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,9.276,59.554,60.199,34,100,15,0,35,8,1,,64,2,999,,"No
",33,1053,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,29.014,0,90,6,0,29,8,0,,75,2,6,,No,37,1054,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0.833,0.833,29.366,1,80,112,0,40,7,1,,72,2,5,,No,39,1055,HR,Female Treat,Sarah Brown,5 years,10 years
ice,52.281,118.774,148.57,4,90,5,0,27,7,1,,65,2,5,,No,34,1056,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1057,,,,,
ice,0,0,154.143,0,71,5,0,28,7,0,,62,2,6,,No,38,1058,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,6.293,27.931,37.161,6,78,15,0,38,7,1,,70,2,5,,No.,42,1059,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,21.196,21.196,21.786,1,60,7,0,35,7,1,,61,2,5,,no,31,1060,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1061,,,,,
ice,0,0,112.378,0,90,6,0,35,7,1,,60,2,5,,,33,1062,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
Ice,,,,,,,,,,,,,,,,,,1063,,,,,
ice,0,0,92.808,0,73,5,0,26,7,1,,51,2,6,,No,40,1064,HR,Female Treat,Sarah Brown,2 years,3 years
ice,1.308,81.067,97.273,2,80,15,0,45,7,0,,77,2,8,Vocational NVQ,,39,1065,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1066,,,,,
ice,0,0,67.193,0,100,3,0,38,7,0,,78,2,3,,No,33,1067,HR,Female Treat,Sarah Brown,2 years,3 years
ice,2.963,125.131,125.738,58,72,6,0,33,7,0,,71,2,5,,No.,43,1068,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,40.805,124.646,136.163,3,70,5,1,26,7,1,,49,2,6,,No,37,1069,HR,Female Treat,Sarah Brown,5 years,10 years
ice,23.901,248.687,250.392,15,100,5,0,26,7,0,,66,2,2,,No,40,1070,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,60.059,0,100,15,0,45,7,1,,69,2,7,,no,34,1071,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1072,,,,,
ice,0,0,104.946,0,95,5,0,30,7,1,,71,2,5,,No.,42,1073,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,2.04,51.948,58.455,3,75,11,0,34,7,1,,74,2,3,,no,32,1074,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,19.305,0,72,4,0,27,7,0,,76,3,6,,no,37,1075,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,94.322,0,91,15,0,35,8,0,,75,2,6,,No,40,1076,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1077,,,,,
,,,,,,,,,,,,,,,,,,1078,,,,,
ice,0,0,224.783,0,92,5,0,25,7,0,,52,2,3,,no,34,1079,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,50.33,0,67,15,0,35,7,1,,51,2,6,,no,33,1080,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,106.684,141.382,142.551,33,100,5,0,31,7,0,,69,5,4,,,40,1081,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0.889,99.034,100.071,2,81,4,1,30,7,1,,78,2,3,,No.,40,1082,HR,Female Treat,Sarah Brown,2 years,3 years
ice,105.455,105.455,132.229,1,70,5,0,28,7,0,,78,2,5,,no,39,1083,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,87.821,0,100,6,0,35,7,0,,58,2,5,,no,38,1084,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,146.575,0,86,13,0,37,7,0,,73,2,6,,No,32,1085,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,2.171,66.058,69.222,45,91,11,0,35,6,1,,56,2,6,,No,34,1086,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1087,,,,,
ice,0,0,94.448,0,93,5,0,27,7,0,,71,2,6,,No,34,1088,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,7.21,0,99,6,0,38,7,1,,67,2,6,,no,40,1089,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,3.773,3.773,61.091,1,100,15,0,45,7,0,,73,2,6,,no,38,1090,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1091,,,,,
ice,0,0,183.309,0,64,5,0,35,7,0,,42,3,3,,No,34,1092,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1093,,,,,
,,,,,,,,,,,,,,,,,,1094,,,,,
,,,,,,,,,,,,,,,,,,1095,,,,,
ice,0,0,208.637,0,100,15,0,40,7,1,,66,2,5,,No,44,1096,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1097,,,,,
ice,0,0,189.722,0,82,15,0,32,6,0,,50,2,2,,No,32,1098,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,131.801,0,81,8,0,32,6,0,,57,2,5,,no,37,1099,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,79.425,0,100,8,0,33,5,0,,66,1,5,,,43,1100,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,3.569,191.384,192.528,12,80,15,0,38,7,0,,74,2,7,,No,34,1101,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,35.69,0,90,5,0,28,7,0,,73,1,4,,no,33,1102,HR,Female Treat,Sarah Brown,2 years,3 years
ice,1.581,51.581,64.135,6,72,4,0,30,7,1,,64,2,5,,No.,32,1103,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1104,,,,,
ice,28.462,28.462,50.445,1,81,8,0,30,7,1,,71,3,5,,,32,1105,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,28.928,0,80,8,0,34,7,0,,75,2,6,,No.,38,1106,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1107,,,,,
ice,20.888,129.563,131.568,32,71,5,0,28,7,0,,78,2,2,,no,44,1108,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,26.366,0,91,31,0,50,7,0,,57,2,3,,No,43,1109,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1110,,,,,
,,,,,,,,,,,,,,,,,,1111,,,,,
,,,,,,,,,,,,,,,,,,1112,,,,,
ice,0,0,17.99,0,80,5,0,29,7,1,,62,3,5,,,40,1113,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,9.027,9.027,11.513,1,80,12,0,35,7,1,,63,2,3,,no,43,1114,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1115,,,,,
ice,2.448,41.841,42.912,23,92,5,0,30,7,1,,69,2,5,, No,40,1116,HR,Female Treat,Sarah Brown,2 years,3 years
ice,27.686,49.271,54.109,5,99,15,0,35,7,0,,65,2,5,,No,43,1117,HR,Female Treat,Sarah Brown,5 years,10 years
ice,30.446,68.365,78.457,4,100,15,0,36,7,1,,55,2,5,,No,32,1118,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,46.822,0,73,5,0,30,7,1,,50,2,4,,No,26,1119,HR,Female Treat,Sarah Brown,2 years,3 years
ice,2.324,43.558,44.725,22,61,10,0,32,7,0,,71,2,6,,,31,1120,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0.855,13.395,38.365,5,80,15,0,38,7,1,,70,2,5,,no,32,1121,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,29.354,0,71,8,0,30,7,0,,75,2,6,,No,40,1122,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,24.439,0,71,15,0,38,7,1,,63,2,7,,,37,1123,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1124,,,,,
ice,5.023,161.523,162.561,37,100,5,0,31,5,1,,64,2,3,,No,36,1125,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,38.96,0,75,11,0,35,7,1,,62,2,3,,no,42,1126,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,110.991,110.991,111.886,1,100,15,0,40,7,0,,66,1,5,,I thin I've done this study before- have I ?,37,1127,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1128,,,,,
ice,0,0,112.267,0,100,25,0,45,7,1,,68,2,5,,No,32,1129,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,61.418,0,69,5,0,27,7,0,,70,2,5,,,33,1130,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,103.483,0,6,6,0,28,7,1,,40,2,3,,No,43,1131,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,37.591,60.058,69.869,2,61,5,0,26,7,0,,67,2,5,,no,33,1132,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1133,,,,,
ice,10.961,144.759,146.04,56,100,10,0,35,7,0,,80,2,3,,No,38,1134,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,65.72,0,81,6,0,28,7,0,,75,2,4,,no,38,1135,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,25.48,0,91,5,0,40,7,1,,68,3,6,,No,32,1136,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,27.098,32.043,55.396,2,100,15,0,35,7,1,,64,3,5,,No,34,1137,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1138,,,,,
ice,4.081,40.818,44.548,27,100,5,0,32,7,1,,74,2,4,,No,40,1139,HR,Female Treat,Sarah Brown,2 years,3 years
ice,1.078,24.568,26.17,22,72,6,0,32,7,0,,76,2,5,,,37,1140,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,2.254,39.779,163.925,5,100,4,0,27,7,1,,76,2,6,,No,42,1141,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,3.039,3.039,4.357,1,61,15,0,36,7,0,,80,2,3,,no,33,1142,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,151.34,0,91,6,0,28,7,0,,71,2,7,,No,34,1143,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,30.902,0,81,15,1,38,7,1,,76,2,5,,No,34,1144,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1145,,,,,
ice,49.571,49.571,118.557,1,61,6,0,40,7,0,,75,2,6,,No,32,1146,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,74.778,0,93,7,0,30,7,0,,71,1,6,,no,33,1147,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1148,,,,,
ice,287.621,287.621,322.572,1,81,13,0,45,7,1,,63,2,5,,No.,33,1149,HR,Female Treat,Sarah Brown,5 years,10 years
ice,3.345,106.811,109.513,31,80,15,0,36,7,0,,70,2,7,,No.,33,1150,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,39.772,0,98,10,0,36,7,0,,76,2,5,,no,36,1151,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,126.191,0,100,5,0,25,7,0,,67,2,6,,,37,1152,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1153,,,,,
ice,154.419,155.535,205.57,2,100,16,0,38,7,0,,51,2,5,,My guess of her age is based on a 3 year uni degree + further training + employment history,37,1154,HR,Female Treat,Sarah Brown,5 years,10 years
ICE,,,,,,,,,,,,,,,,,,1155,,,,,
ice,0,0,46.669,0,65,10,0,35,7,1,,70,2,7,,no,34,1156,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,64.682,0,100,6,0,27,8,0,,58,2,6,,No,37,1157,HR,Female Treat,Sarah Brown,2 years,3 years
ice,6.904,54.158,55.082,26,72,5,0,35,7,0,,64,3,5,,No,32,1158,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,44.151,0,100,2500,0,37,7,1,,54,2,5,,no,32,1159,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,112.481,0,100,4,0,28,7,0,,59,2,2,,No,43,1160,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,27.61,0,88,5,0,28,7,0,,80,3,5,,no,43,1161,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1162,,,,,
ice,0,0,42.511,0,85,14,0,36,5,0,,70,2,5,,No.,36,1163,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,63.088,0,80,8,0,35,7,0,,68,2,5,,No,36,1164,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,148.331,0,85,5,0,29,7,0,,71,2,6,,No.,34,1165,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,85.179,0,95,5,0,31,7,0,,77,2,5,,No,37,1166,HR,Female Treat,Sarah Brown,2 years,3 years
ice,1.401,12.507,16.354,26,90,15,0,43,7,1,,74,3,6,,No,37,1167,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,47,0,90,5,0,26,7,1,,66,2,5,,,39,1168,HR,Female Treat,Sarah Brown,2 years,3 years
ice,3.694,5.456,241.509,4,92,7,0,41,7,0,,60,2,7,,No,37,1169,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1170,,,,,
ice,0,0,206.845,0,100,5,1,28,7,1,,70,2,3,,no,40,1171,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1172,,,,,
ice,0,0,39.588,0,90,10,0,38,7,1,,63,2,2,,No,33,1173,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,31.002,0,81,10,0,34,7,1,,64,2,5,,No,30,1174,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,61.252,0,75,7,0,32,5,1,,71,2,5,,No,37,1175,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,50.603,0,85,8,0,26,7,1,,58,2,3,,No,28,1176,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,246.493,0,66,5,99,31,7,0,,72,2,7,,no,34,1177,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,43.908,0,81,4,0,43,7,1,,51,2,3,,no,31,1178,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,8.458,45.764,46.8,31,100,15,1,40,8,1,,64,2,2,,,43,1179,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,87.523,0,79,10,0,30,7,0,,56,2,7,,No,37,1180,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1181,,,,,
,,,,,,,,,,,,,,,,,,1182,,,,,
ice,4.546,344.991,346.245,4,80,10,0,30,7,1,,67,2,6,,,37,1183,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,23.035,54.85,93.317,2,100,5,0,30,7,1,,78,2,2,,No.,34,1184,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,33.181,0,90,7,0,30,8,0,,72,2,6,,,37,1185,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1186,,,,,
,,,,,,,,,,,,,,,,,,1187,,,,,
ice,0,0,90.757,0,71,6,0,31,6,0,,72,1,6,,No,42,1188,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1189,,,,,
ice,0,0,255.049,0,100,5,0,30,7,0,,65,1,5,,No,38,1190,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,76.089,0,100,15,0,37,7,1,,56,2,3,,No,43,1191,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
,,,,,,,,,,,,,,,,,,1192,,,,,
ice,32.115,32.115,33.265,1,71,10,0,35,7,0,,57,2,5,,No,40,1193,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,88.914,0,81,15,0,35,7,1,,50,2,5,,no,38,1194,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,70.562,0,100,15,0,37,7,1,,71,3,6,,no,37,1195,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1196,,,,,
ice,0,0,31.124,0,91,12,0,30,7,0,,74,2,3,,no,28,1197,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,61.678,89.386,165.738,2,85,15,0,32,7,0,,63,5,6,,No,41,1198,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,79.629,0,100,15,0,31,7,0,,53,2,2,,no,38,1199,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,6.7,207.077,207.911,11,85,5,0,28,7,1,,44,2,5,,No,28,1200,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,37.998,0,80,5,0,32,7,1,,56,3,3,,no,32,1201,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,77.305,0,100,15,0,35,7,0,,69,2,4,,no,38,1202,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,29.377,0,87,8,0,34,7,0,,77,2,5,,No,34,1203,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,31.692,0,92,7,0,27,7,1,,48,2,2,,NO,28,1204,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,126.753,0,80,6,0,38,7,1,,70,2,5,,No.,40,1205,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
Ice,,,,,,,,,,,,,,,,,,1206,,,,,
,,,,,,,,,,,,,,,,,,1207,,,,,
ice,0,0,58.276,0,60,5,0,26,7,1,,76,2,6,,,39,1208,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,159.967,0,91,15,0,40,7,1,,56,2,5,,No,40,1209,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,177.196,0,73,5,0,36,7,0,,74,3,6,,No,28,1210,HR,Female Treat,Sarah Brown,2 years,3 years
ice,63.286,63.286,64.666,1,96,4,0,27,7,1,,45,2,4,,Didnt see any reason not to forward the candidate,28,1211,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,16.366,0,61,10,0,41,7,0,,65,2,5,,no,37,1212,HR,Female Treat,Sarah Brown,2 years,3 years
ice,13.126,38.363,43.242,7,70,5,0,26,7,0,,63,2,5,,No,37,1213,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,70.201,0,81,8,0,34,6,1,,71,2,4,,"
NO",40,1214,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,4.16,41.576,83.784,4,67,5,1,27,7,1,,74,2,6,,no,27,1215,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1216,,,,,
ice,0,0,39.068,0,100,7,0,44,7,0,,67,2,4,,No,43,1217,HR,Female Treat,Sarah Brown,5 years,10 years
,,,,,,,,,,,,,,,,,,1218,,,,,
ice,0,0,282.935,0,71,3,0,25,7,0,,76,3,5,,No,39,1219,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,52.224,0,91,7,0,28,7,0,,51,2,5,,,34,1220,HR,Female Treat,Sarah Brown,5 years,10 years
ice,0,0,41.23,0,100,5,0,30,7,0,,67,2,6,,,38,1221,HR,Female Treat,Sarah Brown,2 years,3 years
ice,0,0,54.613,0,100,6,0,38,7,1,,62,2,3,,no,33,1222,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,4.165,98.74,189.104,3,80,5,0,26,7,1,,64,2,5,,No,43,1223,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
,,,,,,,,,,,,,,,,,,1224,,,,,
,,,,,,,,,,,,,,,,,,1225,,,,,
ice,84.822,84.822,85.368,1,100,5,0,26,7,0,,74,2,5,,,37,1226,HR,Female Treat,Sarah Brown,2 years,3 years
,,,,,,,,,,,,,,,,,,1227,,,,,
,,,,,,,,,,,,,,,,,,1228,,,,,
ice,0,0,20.62,0,59,8,1,30,7,1,,77,2,3,,no,37,1229,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,0,0,108.698,0,100,7,0,30,7,1,,55,2,5,,No,41,1230,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,0,0,138.826,0,100,6,0,29,7,1,,65,2,3,,No,28,1231,HR,Female Normal,Sarah Brown,Jan 2019 - Present,Jan 2016 - Jan 2019
ice,41.863,130.983,170.557,10,90,15,0,36,7,0,,69,2,5,,No,43,1232,HR,Female Treat,Sarah Brown,5 years,10 years
ice,43.953,44.945,46.032,2,96,15,0,45,7,0,,60,2,5,,,37,1233,HR,Female Treat,Sarah Brown,5 years,10 years
ice,154.831,188.072,335.382,2,72,15,0,39,7,1,,60,2,7,,no,34,1234,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
ice,140.998,159.847,214.291,7,90,9,0,26,7,0,,52,2,5,,,33,1235,HR,Female Normal,Sarah Brown,Jan 2016 - Present,Jan 2006 - Jan 2016
