CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
A0149	Raising of other animals	Élevage d'autres animaux	Sonstige Tierhaltung	Y	
A015	Mixed farming	Culture et élevage associés	Gemischte Landwirtschaft	Y	
A0150	Mixed farming	Culture et élevage associés	Gemischte Landwirtschaft	Y	
A016	Support activities to agriculture and post-harvest crop activities	Activités de soutien à l'agriculture et traitement primaire des récoltes	Erbringung von landwirtschaftlichen Dienstleistungen	Y	
A0161	Support activities for crop production	Activités de soutien aux cultures	Erbringung von landwirtschaftlichen Dienstleistungen für den Pflanzenbau	Y	
A0162	Support activities for animal production	Activités de soutien à la production animale	Erbringung von landwirtschaftlichen Dienstleistungen für die Tierhaltung	Y	
A0163	Post-harvest crop activities	Traitement primaire des récoltes	Nach der Ernte anfallende Tätigkeiten in der pflanzlichen Erzeugung	Y	
A0164	Seed processing for propagation	Traitement des semences	Saatgutaufbereitung	Y	
A017	Hunting, trapping and related service activities	Chasse, piégeage et services annexes	Jagd, Fallenstellerei und damit verbundene Tätigkeiten	Y	
A0170	Hunting, trapping and related service activities	Chasse, piégeage et services annexes	Jagd, Fallenstellerei und damit verbundene Tätigkeiten	Y	
A02	Forestry and logging	Sylviculture et exploitation forestière	Forstwirtschaft und Holzeinschlag	Y	
A021	Silviculture and other forestry activities	Sylviculture et autres activités forestières	Forstwirtschaft	Y	
A0210	Silviculture and other forestry activities	Sylviculture et autres activités forestières	Forstwirtschaft	Y	
A022	Logging	Exploitation forestière	Holzeinschlag	Y	
A0220	Logging	Exploitation forestière	Holzeinschlag	Y	
A023	Gathering of wild growing non-wood products	Récolte de produits forestiers non ligneux poussant à l'état sauvage	Sammeln von wildwachsenden Produkten (ohne Holz)	Y	
A0230	Gathering of wild growing non-wood products	Récolte de produits forestiers non ligneux poussant à l'état sauvage	Sammeln von wildwachsenden Produkten (ohne Holz)	Y	
A024	Support services to forestry	Services de soutien à l'exploitation forestière	Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag	Y	
A0240	Support services to forestry	Services de soutien à l'exploitation forestière	Erbringung von Dienstleistungen für Forstwirtschaft und Holzeinschlag	Y	
A03	Fishing and aquaculture	Pêche et aquaculture	Fischerei und Aquakultur	Y	
A031	Fishing	Pêche	Fischerei	Y	
A0311	Marine fishing	Pêche en mer	Meeresfischerei	Y	
A0312	Freshwater fishing	Pêche en eau douce	Süßwasserfischerei	Y	
A032	Aquaculture	Aquaculture	Aquakultur	Y	
A0321	Marine aquaculture	Aquaculture en mer	Meeresaquakultur	Y	
A0322	Freshwater aquaculture	Aquaculture en eau douce	Süßwasseraquakultur	Y	
B-U	Industry, construction and services	Industrie, construction et services	Industrie, Baugewerbe und Dienstleistungen	Y	This aggregate includes the NACE sections B to U
B-T	Industry, construction and services (except extra-territorial organisations and bodies)	Industrie, construction et services (sauf les activités extra-territoriales)	Industrie, Baugewerbe und Dienstleistungen (ohne extra-territoriale Organisationen und Körperschaften)	Y	This aggregate includes the NACE sections B to T
B-S	Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)	Industrie, construction et services (sauf les activités des ménages en tant qu'employeurs et les activités extra-territoriales)	Industrie, Baugewerbe und Dienstleistungen (ohne private Haushalte mit Hauspersonal und extra-territoriale Organisationen und Körperschaften)	Y	This aggregate includes the NACE sections B to S
B-S_X_S94	Industry, construction and market services (except activities of membership organisations)	Industrie, construction et services marchands (sauf les activités des organisations associatives)	Industrie, Baugewerbe und Marktleistungen (ohne Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen)	Y	
B-S_X_O	Industry, construction and services (except public administration, defense, compulsory social security)	Industrie, construction et services (sauf l'administration publique, la défense et la sécurité sociale obligatoire)	Industrie, Baugewerbe und Dienstleistungen (ohne Öffentliche Verwaltung, Verteidigung und Sozialversicherung )	Y	This aggregate includes all NACE activities except sections A, O, T and U
B-S_X_O_S94	Industry, construction and market services (except public administration and defence; compulsory social security; activities of membership organisations)	Industrie, construction et services marchands (sauf l'administration publique et la défense;la sécurité sociale obligatoire; activités des organisations associatives)	Industrie, Baugewerbe und Marktleistungen (ohne Öffentliche Verwaltung und Verteidigung; Sozialversicherung; Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen)	Y	
B-S_X_K642	Industry, construction and services except activities of holding companies	Industrie, construction et services, sauf les activités des sociétés holding	Industrie, Baugewerbe und Dienstleistungen (ohne Beteiligungsgesellschaften)	Y	This aggregate includes all NACE activities except sections A, K642, T and U
B-N_R_S	Business economy; arts, entertainment and recreation; other service activities	Industrie et services marchands; arts, spectacles et activités récréatives; autres activités de services	Gewerbliche Wirtschaft; Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen	Y	This aggregate includes the NACE sections B to N, R and S
B-N	Business economy	Industrie et services marchands	Gewerbliche Wirtschaft	Y	This aggregate includes the NACE sections B to N
B-N_S95	Total business economy; repair of computers, personal and household goods	Ensemble de l'industrie et services marchands; réparation d'ordinateurs, de biens personnels et domestiques	Gewerbliche Wirtschaft insgesamt; Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern	Y	This aggregate includes all NACE activities except sections A, O, P, Q, R, S94, S96, T and U
B-N_S95_X_K	Total business economy; repair of computers, personal and household goods; except financial and insurance activities	Ensemble de l'industrie et services marchands; réparation d'ordinateurs, de biens personnels et domestiques; sauf les activités financières et d'assurances	Gewerbliche Wirtschaft insgesamt; Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern; ohne Finanz- und Versicherungsdienstleistungen	Y	This aggregate includes all NACE activities except sections A, K, O, P, Q, R, S94, S96, T and U
B-N_X_K	Total business economy except financial and insurance activities	Ensemble de l'industrie et services marchands, sauf les activités financières et d'assurances	Gewerbliche Wirtschaft insgesamt (ohne Finanz- und Versicherungsdienstleistungen)	Y	This aggregate includes all NACE activities except sections A, K, O, P, Q, R, S, T and U
B-N_X_K642	Business economy except activities of holding companies	Industrie et services marchands, sauf les activités des sociétés holding	Gewerbliche Wirtschaft (ohne Beteiligungsgesellschaften)	Y	This aggregate includes all NACE activities except sections A, K642, O P, Q, R, S, T and U
B-M71_INN	Innovation core activities (Com.Reg. 1450/2004)	Activités économiques de base relatives à l'innovation (Com.Reg. 1450/2004)	Wichtige Aktivitäten, die Innovationen betreffen (Com.Reg. 1450/2004)	Y	This aggregate includes the following NACE activities: B, C, D, E, G46, H, J58, J61, J62, J63, K and M71
B-M73_INN	Innovation core activities (Com.Reg. 995/2012)	Activités économiques de base relatives à l'innovation (Com.Reg. 995/2012)	Wichtige Aktivitäten, die Innovationen betreffen (Com.Reg. 995/2012)	Y	This aggregate includes the following NACE activities: B, C, D, E, G46, H, J, K, M71, M72, and M73
B-F	Industry and construction	Industrie et construction	Industrie und Baugewerbe	Y	This aggregate includes the NACE sections B to F
B-F_X_C	Industry and construction (except manufacturing)	Industrie et construction (sauf fabrication)	Industrie und Bau (ohne Fertigung)	Y	
B-F_X_D	Industry and construction (except electricity, gas, steam and air conditioning supply)	Industrie et construction (sauf production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)	Industrie und Baugewerbe (ohne Energieversorgung)	Y	
B-E36_F	Industry and construction (except sewerage, waste management and remediation activities)	Industrie et construction (sauf assainissement, gestion des déchets et dépollution)	Industrie und Baugewerbe (ohne Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen)	Y	This aggregate includes all NACE activities from sections B, C, D, F and activity E36
B-E	Industry (except construction)	Industrie (sauf construction)	Industrie (ohne Baugewerbe)	Y	This aggregate includes the NACE sections B to E
B-E36	Industry (except construction, sewerage, waste management and remediation activities)	Industrie (sauf construction, assainissement, gestion des déchets et dépollution)	Industrie (ohne Baugewerbe, Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen)	Y	This aggregate includes all NACE activities from sections B, C, D and activity E36
B-E36_X_FOOD	Industry (except construction, sewerage, waste management and remediation activities), except food, beverages and tobacco	Industrie (sauf construction, assainissement, gestion des déchets et dépollution), sauf industries alimentaires, fabrication de boissons et de produits à base de tabac	Industrie (ohne Baugewerbe, Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen), ohne Nahrungs- und Genussmittel, Getränke und Tabakwaren	Y	
B-D_F	Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction	Industries extractives; industrie manufacturière; production et distribution d'électricité, de gaz, de vapeur et d'air conditionné; construction	Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe/Herstellung von Waren; Energieversorgung; Baugewerbe	Y	This aggregate includes the NACE sections B, C, D and F
B_D-F_XB0721	Mining and quarrying, electricity, gas, water supply, construction (except mining of uranium)	Industries extractives; production et distribution d'électricité, gaz, eau; construction (hors extraction de minerais d'uranium)	Bergbau und Gewinnung von Steinen und Erden; Energieversorgung; Wasserversorgung, Baugewerbe (ohne Bergbau auf Uran)	Y	
B_D_E	Mining and quarrying; electricity, gas, steam and air conditioning supply; water supply, sewerage, waste management and remediation activities	Industries extractives; production et distribution d'électricité,  gaz, vapeur, air conditionné, eau; assainissement, gestion de déchets et dépollution	Bergbau und Gewinnung von Steinen und Erden; Energieversorgung; Wasserversorgung, Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen	Y	This aggregate includes NACE sections B, D and E
B-D	Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply	Industries extractives; industrie manufacturière; production et distribution d'électricité, de gaz, de vapeur et d'air conditionné	Bergbau und Gewinnung von Steinen und Erden; verarbeitendes Gewerbe/Herstellung von Waren; Energieversorgung	Y	This aggregate includes NACE sections B, C and D
B-D_X_FOOD	Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply (except food, beverages and tobacco)	Industries extractives; industrie manufacturière; production et distribution d'électricité, de gaz, de vapeur et d'air conditionné (hors industries alimentaires, fabrication de boissons et de produits à base de tabac)	Bergbau und Gewinnung von Steinen und Erden; verarbeitendes Gewerbe/Herstellung von Waren; Energieversorgung (ohne Nahrungs- und Genussmittel, Getränke und Tabakwaren)	Y	
B_C	Mining and quarrying; manufacturing	Industries extractives; industrie manufacturière	Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe/Herstellung von Waren	Y	This aggregate includes NACE sections B and C
B_C_X_FOOD	Mining and quarrying; manufacturing (except food, beverages and tobacco)	Industries extractives; industrie manufacturière (hors industries alimentaires, fabrication de boissons et de produits à base de tabac)	Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe/Herstellung von Waren (ohne Nahrungs- und Genussmittel, Getränke und Tabakwaren)	Y	
B_C_X_MIG_NRG	Mining and quarrying; manufacturing (except MIG energy)	Industries extractives ; industrie manufacturière (hors GRI énergie)	Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe/Herstellung von Waren (ohne MIG Energie)	Y	This aggregate includes the following NACE activities: B07, B08, B09 plus section C
B_C_X_FD_MIG_NRG	Mining and quarrying; manufacturing (except MIG energy), except food, beverages and tobacco	Industries extractives; industrie manufacturière (hors GRI énergie), hors industries alimentaires, fabrication de boissons et de produits à base de tabac	Bergbau und Gewinnung von Steinen und Erden; Verarbeitendes Gewerbe/Herstellung von Waren (ohne MIG Energie), ohne Nahrungs- und Genussmittel, Getränke und Tabakwaren	Y	
KIA	Total knowledge-intensive activities	Total des secteurs des activités à haut niveau de savoir	Wissensintensive Wirtschaftsbereich insgesamt	Y	This aggregate includes the following NACE activities: B09, C19, C21, C26, H51, J, K, M, N78, N79, O, P, Q86, R90, R91, S94 and U
KIABI	Knowledge-intensive activities - business industries	Activités des entreprises basés sur la connaissance	Wissensintensive Wirtschaftsbereich	Y	This aggregate includes the following NACE activities: B09, C19, C21, C26, H51, J, K, M, N78, N79 and R90
KIABI_X_K_R90	Non-financial knowledge-intensive activities - business industries	Secteur des activités non financières à haut niveau de savoir - industries marchandes	Wissensintensive Aktivitäten (ohne Finanz- und Versicherungsdienstleistungen) - Gewerbliche Industrie	Y	This aggregate includes the following NACE activities: B09, C19, C21, C26, H51, J, M, N78, and N79
MIG_ING_CAG	MIG - intermediate and capital goods	GRI - biens intermédiaires et d'investissements	MIG - Vorleistungs- und Investitionsgüter	Y	This aggregate includes the following NACE activities: B07, B08, B09, C106, C109, C131 to C133, C16, C17, C201 to C203, C205, C206, C22, C23, C24, C251 to C254, C255 to C257, C259, C261, C262, C263, C265, C266, C268, C271 to C274, C279, C28, C29, C301 to C304, C325, C33
MIG_ING_ORD	MIG - intermediate goods, for new orders	GRI - biens intermédiaires, pour les entrées de commandes	MIG - Vorleistungsgüter, für Auftragseingänge	Y	This aggregate includes the following NACE activities: C131 to C133, C17, C201 to C203, C205, C206, C24, C255 to C257, C259, C261, C268, C271 to C274, C279
MIG_ING	MIG - intermediate goods	GRI - biens intermédiaires	MIG - Vorleistungsgüter	Y	This aggregate includes the following NACE activities: B07, B08, B09, C106, C109, C131 to C133, C16, C17, C201 to C203, C205, C206, C22, C23, C24, C255 to C257, C259, C261, C268, C271 to C274, C279
MIG_NRG	MIG - energy	GRI - énergie	MIG - Energie	Y	This aggregate includes the following NACE activities: B05, B06, C19, D35, E36
MIG_NRG_X_E	MIG - energy (except section E)	GRI - énergie (hors section E)	MIG - Energie (ohne Abschnitt E)	Y	
MIG_NRG_X_D_E	MIG - energy (except sections D and E)	GRI - énergie (hors sections D et E)	MIG - Energie (ohne Abschnitte D und E)	Y	This aggregate includes the following NACE activities: B05, B06, C19
MIG_CAG	MIG - capital goods	GRI - biens d'investissement	MIG - Investitionsgüter	Y	This aggregate includes the following NACE activities: C251 to C254, C262, C263, C265, C266, C28, C29, C301 to C304, C325, C33
MIG_CAG_ORD	MIG - capital goods, for new orders	GRI - biens d'investissement, pour les entrées de commandes	MIG - Investitionsgüter, für Auftragseingänge	Y	This aggregate includes the following NACE activities: C251 to C254, C262, C263, C265, C266, C28, C29, C301 to C304
MIG_COG	MIG - consumer goods	GRI - biens de consommation	MIG - Ge- und Verbrauchsgüter	Y	This aggregate includes the following NACE activities: C101 to C105, C107, C108, C11, C12, C139, C14, C15, C18, C204, C21, C264, C267, C275, C309, C31, C321, C322, C323, C324, C329
MIG_COG_X_FOOD	MIG - consumer goods (except food, beverages and tobacco)	GRI - biens de consommation (hors industries alimentaires, fabrication de boissons et de produits à base de tabac	MIG - Ge- und Verbrauchsgüter (ohne Nahrungs- und Genussmittel, Getränke und Tabakwaren)	Y	
MIG_COG_ORD	MIG - consumer goods, for new orders	GRI - biens de consommation, pour les entrées de commandes	MIG - Ge- und Verbrauchsgüter, für Auftragseingänge	Y	This aggregate includes the following NACE activities: C139, C14, C204, C21, C264, C267, C275, C309
MIG_DCOG	MIG - durable consumer goods	GRI - biens de consommation durables	MIG - Gebrauchsgüter	Y	This aggregate includes the following NACE activities: C264, C267, C275, C309, C31, C321, C322
MIG_DCOG_ORD	MIG - durable consumer goods, for new orders	GRI - biens de consommation durables, pour les entrées de commandes	MIG - Gebrauchsgüter, für Auftragseingänge	Y	This aggregate includes the following NACE activities: C264, C267, C275, C309
MIG_NDCOG	MIG - non-durable consumer goods	GRI - biens de consommation non durables	MIG - Verbrauchsgüter	Y	This aggregate includes the following NACE activities: C101 to C105, C107, C108, C11, C12, C139, C14, C15, C18, C204, C21, C323, C324, C329
MIG_NDCOG_ORD	MIG - non-durable consumer goods, for new orders	GRI - biens de consommation non durables, pour les entrées de commandes	MIG - Verbrauchsgüter, für Auftragseingänge	Y	This aggregate includes the following NACE activities: C139, C14, C204, C21
B	Mining and quarrying	Industries extractives	Bergbau und Gewinnung von Steinen und Erden	Y	
B05	Mining of coal and lignite	Extraction de houille et de lignite	Kohlenbergbau	Y	
B051	Mining of hard coal	Extraction de houille	Steinkohlenbergbau	Y	
B0510	Mining of hard coal	Extraction de houille	Steinkohlenbergbau	Y	
B052	Mining of lignite	Extraction de lignite	Braunkohlenbergbau	Y	
B0520	Mining of lignite	Extraction de lignite	Braunkohlenbergbau	Y	
B06-B09	Mining and quarrying, except mining of coal and lignite	Industries extractives, sauf l'extraction de houille et de lignite	Bergbau, Gewinnung von Steinen und Erden, ohne Kohlenbergbau und Torfgewinnung	Y	This aggregate includes the NACE activities B06,  B07, B08 and B09
B06_B09	Extraction of crude petroleum and natural gas; mining support service activities	Extraction d'hydrocarbures; services de soutien aux industries extractives	Gewinnung von Erdöl und Erdgas; Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden	Y	This aggregate includes the NACE activities B06 and B09
B06	Extraction of crude petroleum and natural gas	Extraction d'hydrocarbures	Gewinnung von Erdöl und Erdgas	Y	
B061	Extraction of crude petroleum	Extraction de pétrole brut	Gewinnung von Erdöl	Y	
B0610	Extraction of crude petroleum	Extraction de pétrole brut	Gewinnung von Erdöl	Y	
B062	Extraction of natural gas	Extraction de gaz naturel	Gewinnung von Erdgas	Y	
B0620	Extraction of natural gas	Extraction de gaz naturel	Gewinnung von Erdgas	Y	
B07-B09_X_EPRD	Mining, quarrying and mining support service activities except those related to energy products (uranium and thorium ores, peat, petroleum and natural gas)	Industries extractives et services de soutien aux industries extractives à l’exception de ceux liées aux produits énergétiques (minerais d’uranium et de thorium, tourbe, hydrocarbures)	Bergbau, Gewinnung von Steinen und Erden und Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden ohne derjenigen die sich auf Energieprodukte bezieht sind (Uran- und Thoriumerzen, Torf, Erdöl und Erdgas)	Y	
B07	Mining of metal ores	Extraction de minerais métalliques	Erzbergbau	Y	
B07_X_B0721	Mining of metal ores except mining of uranium and thorium ores	Extraction de minerais métalliques sauf l'extraction de minerais d'uranium et de thorium	Erzbergbau ohne Bergbau auf Uran- und Thoriumerze	Y	
B071	Mining of iron ores	Extraction de minerais de fer	Eisenerzbergbau	Y	
B0710	Mining of iron ores	Extraction de minerais de fer	Eisenerzbergbau	Y	
B072	Mining of non-ferrous metal ores	Extraction de minerais de métaux non ferreux	NE-Metallerzbergbau	Y	
B0721	Mining of uranium and thorium ores	Extraction de minerais d'uranium et de thorium	Bergbau auf Uran- und Thoriumerze	Y	
B0729	Mining of other non-ferrous metal ores	Extraction d'autres minerais de métaux non ferreux	Sonstiger NE-Metallerzbergbau	Y	
B08	Other mining and quarrying	Autres industries extractives	Gewinnung von Steinen und Erden, sonstiger Bergbau	Y	
B08_X_B0892	Other mining and quarrying except extraction of peat	Autres industries extractives sauf l'extraction de tourbe	Gewinnung von Steinen und Erden, sonstiger Bergbau ohne Torfgewinnung	Y	
B081	Quarrying of stone, sand and clay	Extraction de pierres, de sables et d'argiles	Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin	Y	
B0811	Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate	Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise	Gewinnung von Naturwerksteinen und Natursteinen, Kalk- und Gipsstein, Kreide und Schiefer	Y	
B0812	Operation of gravel and sand pits; mining of clays and kaolin	Exploitation de gravières et sablières, extraction d'argiles et de kaolin	Gewinnung von Kies, Sand, Ton und Kaolin	Y	
B089	Mining and quarrying n.e.c.	Activités extractives n.c.a.	Sonstiger Bergbau; Gewinnung von Steinen und Erden a. n. g.	Y	
B0891	Mining of chemical and fertiliser minerals	Extraction des minéraux chimiques et d'engrais minéraux	Bergbau auf chemische und Düngemittelminerale	Y	
B0892	Extraction of peat	Extraction de tourbe	Torfgewinnung	Y	
B0893	Extraction of salt	Production de sel	Gewinnung von Salz	Y	
B0899	Other mining and quarrying n.e.c.	Autres activités extractives n.c.a.	Gewinnung von Steinen und Erden a. n. g.	Y	
B09	Mining support service activities	Services de soutien aux industries extractives	Erbringung von Dienstleistungen für den Bergbau und für die Gewinnung von Steinen und Erden	Y	
B091	Support activities for petroleum and natural gas extraction	Activités de soutien à l'extraction d'hydrocarbures	Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas	Y	
B0910	Support activities for petroleum and natural gas extraction	Activités de soutien à l'extraction d'hydrocarbures	Erbringung von Dienstleistungen für die Gewinnung von Erdöl und Erdgas	Y	
B099	Support activities for other mining and quarrying	Activités de soutien aux autres industries extractives	Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden	Y	
B0990	Support activities for other mining and quarrying	Activités de soutien aux autres industries extractives	Erbringung von Dienstleistungen für den sonstigen Bergbau und die Gewinnung von Steinen und Erden	Y	
C-F	Manufacturing, electricity, gas, steam and air conditioning supply; water supply and construction	Industrie manufacturière, production et distribution d'électricité, de gaz, de vapeur et d'air conditionné; production et distribution d'eau et construction	Verarbeitendes Gewerbe/Herstellung von Waren, Energieversorgung; Wasserversorgung und Baugewerbe/Bau	Y	
C-E	Manufacturing, electricity, gas, steam and air conditioning; water supply, sewerage, waste management and remediation activities	Industrie manufacturière, production et distribution d'électricité, de gaz, de vapeur et d'air conditionné; production et distribution d'eau; assainissement, gestion des déchets et dépollution	Verarbeitendes Gewerbe/Herstellung von Waren, Energieversorgung; Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen	Y	
